"Item","Part","Material","Quantity","Volume (mm3)","Approximate mass (g)"
"1","Mounting plate","Titanium · Ti-6Al-4V","1","177559.005","786.586"
"2","Bearing carrier","Aluminum · 6061-T6","1","176409.843","476.307"
"3","Bronze sleeve bearing","Bronze · CuSn12","1","45636.781","401.604"
"4","Drive shaft","Steel · AISI 304","1","127612.409","1020.899"
"5","Front retaining flange","Bronze · CuSn12","1","12295.270","108.198"
"6","Rear retaining flange","Steel · Black oxide","1","12295.270","96.518"
"7","Socket screw M5 · 1","Steel · AISI 304","1","225.339","1.803"
"8","Socket screw M5 · 2","Steel · AISI 304","1","225.339","1.803"
"9","Socket screw M5 · 3","Steel · AISI 304","1","225.339","1.803"
"10","Socket screw M5 · 4","Steel · AISI 304","1","225.339","1.803"
